job_instance_id, job_name, create_time, start_time, end_time, status, exit_code, last_updated
1080,discordJob,2024-06-14 14:47:30.1133762,2024-06-14 14:47:30.1563744,,STARTED,UNKNOWN,2024-06-14 14:47:30.1563744
1081,discordJob,2024-06-14 14:48:00.1077021,2024-06-14 14:48:00.134703,,STARTED,UNKNOWN,2024-06-14 14:48:00.134703
